tramo,x_min,x_max,longitud
1,133.0,139.65,6.677479297663121
2,139.65,146.3,6.660873090464485
3,146.3,152.95,6.686972382188541
4,152.95,159.6,6.6831464673891166
5,159.6,166.25,6.658728089928717
6,166.25,172.9,6.657969867971211
7,172.9,179.55,6.725313456904479
8,179.55,186.2,6.8807367978385825
9,186.2,192.85,7.108422398768946
10,192.85,199.5,7.360739268848182
11,199.5,206.15,7.572283939568592
12,206.15,212.8,7.676174455258151
13,212.8,219.45,7.619759878679555
14,219.45,226.10000000000002,7.3840903102000555
15,226.10000000000002,232.75,7.018596837624548
16,232.75,239.4,6.706495784022356
17,239.4,246.05,6.837651851444517
18,246.05,252.7,7.918542984667897
19,252.7,259.35,10.244521761350502
20,259.35,266.0,13.803410087315674
