tramo,x_min,x_max,longitud
1,133.0,139.65,25.77011013992998
2,139.65,146.3,35.194840426904435
3,146.3,152.95,34.66121810690919
4,152.95,159.6,69.62863713534651
5,159.6,166.25,42.89594477956055
6,166.25,172.9,35.11628763726522
7,172.9,179.55,56.59293551019373
8,179.55,186.2,124.01391301276874
9,186.2,192.85,148.3823338221521
10,192.85,199.5,135.3930559074074
11,199.5,206.15,127.38168206526986
12,206.15,212.8,152.58995073158945
13,212.8,219.45,228.69873139755455
14,219.45,226.10000000000002,226.3549272397347
15,226.10000000000002,232.75,128.46037010018333
16,232.75,239.4,340.3661431133559
17,239.4,246.05,137.20528111598892
18,246.05,252.7,127.09624123237816
19,252.7,259.35,248.4626783633431
20,259.35,266.0,145.61044075037634
